--------- beginning of crash
03-11 19:04:24.890  1460  1460 I libpq_sec: mtk-brm-commit-id:8d52b75ecea4b0c2129c05428261104d5b4c7e6f
03-11 19:04:24.891  1460  1460 I libpq_sec: mtk-brm-change-id:Idfe06ff5198c0d6cc7248bb4a94299f37013c3e3
03-11 19:04:24.891  1460  1460 I libpq_sec: mtk-brm-merge-id:none
03-11 19:04:24.898  1462  1462 I libpq_sec: mtk-brm-commit-id:8d52b75ecea4b0c2129c05428261104d5b4c7e6f
03-11 19:04:24.898  1462  1462 I libpq_sec: mtk-brm-change-id:Idfe06ff5198c0d6cc7248bb4a94299f37013c3e3
03-11 19:04:24.898  1462  1462 I libpq_sec: mtk-brm-merge-id:none
03-11 19:04:25.157  1507  1594 I libged  : mtk-brm-commit-id:8f279a13f0709684183c66949c3aedba30471847
03-11 19:04:25.157  1507  1594 I libged  : mtk-brm-change-id:I9678c768ba1e3699d9c1b78051980c2e6eb41dfa
03-11 19:04:25.157  1507  1594 I libged  : mtk-brm-merge-id:none
03-11 19:04:25.191  1507  1594 I libGLES_mali: mtk-brm-commit-id:2dd3679a7a9ae1ac1c71018445b123e29438be5c
03-11 19:04:25.196  1507  1594 I libGLES_mali: mtk-brm-change-id:I2fd435266d7e8eadf0bdf45a2881b673239705c1
03-11 19:04:25.196  1507  1594 I libGLES_mali: mtk-brm-merge-id:none
03-11 19:04:25.226  1607  1607 I libneuralnetworks_sl_driver: mtk-brm-commit-id:161f105d8fdcda4d5f9ff10858623788849cd706
03-11 19:04:25.226  1607  1607 I libneuralnetworks_sl_driver: mtk-brm-change-id:I3cc60e15bedb425deae97e4ba62ce9795469d0f0
03-11 19:04:25.226  1607  1607 I libneuralnetworks_sl_driver: mtk-brm-merge-id:none
03-11 19:04:25.226  1612  1612 I thermal_core: mtk-brm-commit-id:234641ae27aad1cfcf52a5ba536c107c965a52ab
03-11 19:04:25.227  1612  1612 I thermal_core: mtk-brm-change-id:Ieb2106d5ec215adedae5ff15a92923dc35fdb2bc
03-11 19:04:25.227  1612  1612 I thermal_core: mtk-brm-merge-id:none
03-11 19:04:25.231  1607  1607 I neuralnetworks_shim: mtk-brm-commit-id:25a38658d8fcdbb20664f319d3ecf9d75fd3654c
03-11 19:04:25.231  1607  1607 I neuralnetworks_shim: mtk-brm-change-id:I98bca291cad1df955fc3a2dd4a672c689604df9b
03-11 19:04:25.231  1607  1607 I neuralnetworks_shim: mtk-brm-merge-id:none
03-11 19:04:25.313  1607  1607 I cpu_nn  : mtk-brm-commit-id:e0b1e6a299e09326d1e3c00df0bee88777f15fb0
03-11 19:04:25.313  1607  1607 I cpu_nn  : mtk-brm-change-id:Ia06225ca2806a5f28be95902c2303b12e9a90c38
03-11 19:04:25.313  1607  1607 I cpu_nn  : mtk-brm-merge-id:none
03-11 19:04:25.317  1603  1603 I libimsma_adapt: mtk-brm-commit-id:86b746c21fd235c214611f3344cf70649e895fd7
03-11 19:04:25.317  1603  1603 I libimsma_adapt: mtk-brm-change-id:I44c926fb2a62b0816d0a8d12e3957bca373f1721
03-11 19:04:25.317  1603  1603 I libimsma_adapt: mtk-brm-merge-id:none
03-11 19:04:25.368  1607  1607 I cmdl    : mtk-brm-commit-id:83b79bc206164073c4933dac9048e8bbf2468a2f
03-11 19:04:25.368  1607  1607 I cmdl    : mtk-brm-change-id:I3f996dc2e36f9014a83a3c7740956ca173b56f36
03-11 19:04:25.368  1607  1607 I cmdl    : mtk-brm-merge-id:none
03-11 19:04:25.375  1607  1607 I gpu_nn  : mtk-brm-commit-id:0b5fce9d2ecbb9be75db033475f121621364bbd0
03-11 19:04:25.377  1607  1607 I gpu_nn  : mtk-brm-change-id:Icf488c65b434d1938ee3d916fb07216f278b708b
03-11 19:04:25.378  1607  1607 I gpu_nn  : mtk-brm-merge-id:none
03-11 19:04:25.434  1666  1666 I emdlogger: mtk-brm-commit-id:9d634ad4aaec05afd61a48cc390c2f3e7ba213ba
03-11 19:04:25.434  1666  1666 I emdlogger: mtk-brm-change-id:I95f7f5b11ef3b8f02e5bc26abd93bf70033f9e48
03-11 19:04:25.434  1666  1666 I emdlogger: mtk-brm-merge-id:none
03-11 19:04:25.586  1722  1722 I libpq_sec: mtk-brm-commit-id:8d52b75ecea4b0c2129c05428261104d5b4c7e6f
03-11 19:04:25.586  1722  1722 I libpq_sec: mtk-brm-change-id:Idfe06ff5198c0d6cc7248bb4a94299f37013c3e3
03-11 19:04:25.586  1722  1722 I libpq_sec: mtk-brm-merge-id:none
03-11 19:04:25.685  1723  1723 I libpq_sec: mtk-brm-commit-id:8d52b75ecea4b0c2129c05428261104d5b4c7e6f
03-11 19:04:25.685  1723  1723 I libpq_sec: mtk-brm-change-id:Idfe06ff5198c0d6cc7248bb4a94299f37013c3e3
03-11 19:04:25.685  1723  1723 I libpq_sec: mtk-brm-merge-id:none
03-11 19:04:27.841  1685  1685 I mcnr_algo: mtk-brm-commit-id:dd4929e6a71bd0be06b2d18234833692e8dec44f
03-11 19:04:27.841  1685  1685 I mcnr_algo: mtk-brm-change-id:I4260c971d731b542818aac96725266c809617407
03-11 19:04:27.841  1685  1685 I mcnr_algo: mtk-brm-merge-id:none
03-11 19:04:27.952  1685  1685 I libpq_sec: mtk-brm-commit-id:8d52b75ecea4b0c2129c05428261104d5b4c7e6f
03-11 19:04:27.952  1685  1685 I libpq_sec: mtk-brm-change-id:Idfe06ff5198c0d6cc7248bb4a94299f37013c3e3
03-11 19:04:27.952  1685  1685 I libpq_sec: mtk-brm-merge-id:none
03-11 19:04:52.404  3313  3313 I thermal_core: mtk-brm-commit-id:74ef16098784dd698d10950c8fd3f47295ee3fc0
03-11 19:04:52.404  3313  3313 I thermal_core: mtk-brm-change-id:I4b22c22d8511bdb8c07debbac82b1564676111e8
03-11 19:04:52.404  3313  3313 I thermal_core: mtk-brm-merge-id:none
03-11 19:18:29.295  1489  1489 I liboemcrypto: mtk-brm-commit-id:42dd6e7f89438f3318124f9493ca62ece27e05cf
03-11 19:18:29.295  1489  1489 I liboemcrypto: mtk-brm-change-id:Ifa8f19c763601e53c5a662fc54eb11853ade09e0
03-11 19:18:29.295  1489  1489 I liboemcrypto: mtk-brm-merge-id:none
03-12 15:00:51.829 10925 10925 E AndroidRuntime: FATAL EXCEPTION: main
03-12 15:00:51.829 10925 10925 E AndroidRuntime: Process: app.revenge, PID: 10925
03-12 15:00:51.829 10925 10925 E AndroidRuntime: java.lang.ExceptionInInitializerError
03-12 15:00:51.829 10925 10925 E AndroidRuntime: 	at org.lsposed.lspatch.metaloader.LSPAppComponentFactoryStub.a(Unknown Source:451)
03-12 15:00:51.829 10925 10925 E AndroidRuntime: 	at org.lsposed.lspatch.metaloader.LSPAppComponentFactoryStub.<clinit>(Unknown Source:22)
03-12 15:00:51.829 10925 10925 E AndroidRuntime: 	at java.lang.Class.newInstance(Native Method)
03-12 15:00:51.829 10925 10925 E AndroidRuntime: 	at android.app.LoadedApk.createAppFactory(LoadedApk.java:286)
03-12 15:00:51.829 10925 10925 E AndroidRuntime: 	at android.app.LoadedApk.createOrUpdateClassLoaderLocked(LoadedApk.java:1061)
03-12 15:00:51.829 10925 10925 E AndroidRuntime: 	at android.app.LoadedApk.getClassLoader(LoadedApk.java:1156)
03-12 15:00:51.829 10925 10925 E AndroidRuntime: 	at android.app.LoadedApk.getResources(LoadedApk.java:1404)
03-12 15:00:51.829 10925 10925 E AndroidRuntime: 	at android.app.ContextImpl.createAppContext(ContextImpl.java:3492)
03-12 15:00:51.829 10925 10925 E AndroidRuntime: 	at android.app.ContextImpl.createAppContext(ContextImpl.java:3483)
03-12 15:00:51.829 10925 10925 E AndroidRuntime: 	at android.app.ActivityThread.handleBindApplication(ActivityThread.java:7869)
03-12 15:00:51.829 10925 10925 E AndroidRuntime: 	at android.app.ActivityThread.-$$Nest$mhandleBindApplication(Unknown Source:0)
03-12 15:00:51.829 10925 10925 E AndroidRuntime: 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:2622)
03-12 15:00:51.829 10925 10925 E AndroidRuntime: 	at android.os.Handler.dispatchMessage(Handler.java:110)
03-12 15:00:51.829 10925 10925 E AndroidRuntime: 	at android.os.Looper.loopOnce(Looper.java:283)
03-12 15:00:51.829 10925 10925 E AndroidRuntime: 	at android.os.Looper.loop(Looper.java:392)
03-12 15:00:51.829 10925 10925 E AndroidRuntime: 	at android.app.ActivityThread.main(ActivityThread.java:9231)
03-12 15:00:51.829 10925 10925 E AndroidRuntime: 	at java.lang.reflect.Method.invoke(Native Method)
03-12 15:00:51.829 10925 10925 E AndroidRuntime: 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:633)
03-12 15:00:51.829 10925 10925 E AndroidRuntime: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:1026)
03-12 15:00:51.829 10925 10925 E AndroidRuntime: Caused by: java.lang.NoClassDefFoundError: Class not found using the boot class loader; no stack trace available
03-12 19:51:32.340 22908 22908 E AndroidRuntime: FATAL EXCEPTION: main
03-12 19:51:32.340 22908 22908 E AndroidRuntime: Process: com.lagradost.quicknovel.debug, PID: 22908
03-12 19:51:32.340 22908 22908 E AndroidRuntime: java.lang.RuntimeException: Unable to start activity ComponentInfo{com.lagradost.quicknovel.debug/com.lagradost.quicknovel.MainActivity}: android.view.InflateException: Binary XML file line #52 in com.lagradost.quicknovel.debug:layout/activity_main: Binary XML file line #140 in com.lagradost.quicknovel.debug:layout/fragment_downloads: Binary XML file line #140 in com.lagradost.quicknovel.debug:layout/fragment_downloads: Error inflating class com.google.android.material.floatingactionbutton.ExtendedFloatingActionButton
03-12 19:51:32.340 22908 22908 E AndroidRuntime: 	at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:4376)
03-12 19:51:32.340 22908 22908 E AndroidRuntime: 	at android.app.ActivityThread.handleLaunchActivity(ActivityThread.java:4563)
03-12 19:51:32.340 22908 22908 E AndroidRuntime: 	at android.app.servertransaction.LaunchActivityItem.execute(LaunchActivityItem.java:222)
03-12 19:51:32.340 22908 22908 E AndroidRuntime: 	at android.app.servertransaction.TransactionExecutor.executeNonLifecycleItem(TransactionExecutor.java:133)
03-12 19:51:32.340 22908 22908 E AndroidRuntime: 	at android.app.servertransaction.TransactionExecutor.executeTransactionItems(TransactionExecutor.java:103)
03-12 19:51:32.340 22908 22908 E AndroidRuntime: 	at android.app.servertransaction.TransactionExecutor.execute(TransactionExecutor.java:80)
03-12 19:51:32.340 22908 22908 E AndroidRuntime: 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:2899)
03-12 19:51:32.340 22908 22908 E AndroidRuntime: 	at android.os.Handler.dispatchMessage(Handler.java:110)
03-12 19:51:32.340 22908 22908 E AndroidRuntime: 	at android.os.Looper.loopOnce(Looper.java:283)
03-12 19:51:32.340 22908 22908 E AndroidRuntime: 	at android.os.Looper.loop(Looper.java:392)
03-12 19:51:32.340 22908 22908 E AndroidRuntime: 	at android.app.ActivityThread.main(ActivityThread.java:9231)
03-12 19:51:32.340 22908 22908 E AndroidRuntime: 	at java.lang.reflect.Method.invoke(Native Method)
03-12 19:51:32.340 22908 22908 E AndroidRuntime: 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:633)
03-12 19:51:32.340 22908 22908 E AndroidRuntime: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:1026)
03-12 19:51:32.340 22908 22908 E AndroidRuntime: Caused by: android.view.InflateException: Binary XML file line #52 in com.lagradost.quicknovel.debug:layout/activity_main: Binary XML file line #140 in com.lagradost.quicknovel.debug:layout/fragment_downloads: Binary XML file line #140 in com.lagradost.quicknovel.debug:layout/fragment_downloads: Error inflating class com.google.android.material.floatingactionbutton.ExtendedFloatingActionButton
03-12 19:51:32.340 22908 22908 E AndroidRuntime: Caused by: android.view.InflateException: Binary XML file line #140 in com.lagradost.quicknovel.debug:layout/fragment_downloads: Binary XML file line #140 in com.lagradost.quicknovel.debug:layout/fragment_downloads: Error inflating class com.google.android.material.floatingactionbutton.ExtendedFloatingActionButton
03-12 19:51:32.340 22908 22908 E AndroidRuntime: Caused by: android.view.InflateException: Binary XML file line #140 in com.lagradost.quicknovel.debug:layout/fragment_downloads: Error inflating class com.google.android.material.floatingactionbutton.ExtendedFloatingActionButton
03-12 19:51:32.340 22908 22908 E AndroidRuntime: Caused by: java.lang.reflect.InvocationTargetException
03-12 19:51:32.340 22908 22908 E AndroidRuntime: 	at java.lang.reflect.Constructor.newInstance0(Native Method)
03-12 19:51:32.340 22908 22908 E AndroidRuntime: 	at java.lang.reflect.Constructor.newInstance(Constructor.java:343)
03-12 19:51:32.340 22908 22908 E AndroidRuntime: 	at android.view.LayoutInflater.createView(LayoutInflater.java:743)
03-12 19:51:32.340 22908 22908 E AndroidRuntime: 	at android.view.LayoutInflater.createViewFromTag(LayoutInflater.java:899)
03-12 19:51:32.340 22908 22908 E AndroidRuntime: 	at android.view.LayoutInflater.createViewFromTag(LayoutInflater.java:850)
03-12 19:51:32.340 22908 22908 E AndroidRuntime: 	at android.view.LayoutInflater.rInflate(LayoutInflater.java:1029)
